Player;_x;Apps_x;Mins_x;Goals_x;Assists_x;Yel;Red;SpG_x;PS%_x;AerialsWon;MotM;Rating_x;_y;Apps_y;Mins_y;Tackles;Inter;Fouls;Offsides;Clear;Drb_x;Blocks;OwnG;Rating_y;_x;Apps_x;Mins_x;Goals_y;Assists_y;SpG_y;KeyP_x;Drb_y;Fouled;Off;Disp;UnsTch;Rating_x;_y;Apps_y;Mins_y;Assists;KeyP_y;AvgP;PS%_y;Crosses;LongB;ThrB;Rating_y
"44
Pablo Barrios
Atletico, 20, M(C)";;11(5);1051;-;1;3;-;0.6;85.6;0.6;-;6.92;;11(5);1051;2.1;1.2;0.9;0.1;0.9;1;0.1;-;6.92;;11(5);1051;-;1;0.6;0.6;1.9;1.1;-;1;1.8;6.92;;11(5);1051;1;0.6;37.7;85.6;-;1.4;0.1;6.92
"45
Aitor Ruibal
Real Betis, 27, D(R),M(LR)";;8(6);772;2;1;4;-;0.8;79.8;0.2;2;6.91;;8(6);772;2.7;0.8;1;0.4;1.4;1.6;0.1;-;6.91;;8(6);772;2;1;0.8;0.8;1.7;0.7;0.1;0.5;1.1;6.91;;8(6);772;1;0.8;24.8;79.8;0.4;1.4;-;6.91
"46
Bryan Zaragoza
Granada, 22, AM(LR)";;18(3);1640;6;2;5;-;1.6;65.6;0.2;4;6.91;;18(3);1640;0.9;0.1;0.6;-;-;0.7;-;-;6.91;;18(3);1640;6;2;1.6;1.1;2.5;1.6;0.7;0.5;2.5;6.91;;18(3);1640;2;1.1;16;65.6;1.1;0.4;0.1;6.91
"47
Viktor Tsygankov
Girona, 26, AM(CLR)";;18(3);1467;6;3;-;-;1.3;82.5;0.7;-;6.91;;18(3);1467;1;0.4;0.6;-;0.7;0.5;-;-;6.91;;18(3);1467;6;3;1.3;1;0.7;1.2;0.1;1;1.6;6.91;;18(3);1467;3;1;25.6;82.5;0.6;0.4;-;6.91
"48
Diego Rico
Getafe, 31, D(CL),M(L)";;20(1);1832;-;5;7;-;0.5;67.7;1.2;-;6.91;;20(1);1832;2.2;1.5;0.8;1;1.9;1.1;0.3;-;6.91;;20(1);1832;-;5;0.5;1.3;0.4;2;0.1;0.6;1;6.91;;20(1);1832;5;1.3;36.6;67.7;1;2.6;-;6.91
"49
Rodrigo De Paul
Atletico, 29, AM(CLR),FW";;16(7);1416;1;4;3;-;0.9;86.6;0.2;2;6.90;;16(7);1416;1.1;0.3;0.7;-;0.5;0.8;-;-;6.90;;16(7);1416;1;4;0.9;1.3;1;1.8;-;0.3;1;6.90;;16(7);1416;4;1.3;46.8;86.6;0.4;2.6;0.5;6.90
"50
Lucas Ocampos
Sevilla, 29, M(CLR),FW";;23(1);1991;3;2;5;-;2;70.7;1.9;1;6.90;;23(1);1991;1.6;0.5;1;-;0.5;0.5;-;-;6.90;;23(1);1991;3;2;2;0.9;1.6;2.2;0.3;1.8;3.1;6.90;;23(1);1991;2;0.9;26.8;70.7;0.8;1;-;6.90
"51
Germán Pezzella
Real Betis, 32, D(C)";;25;2169;1;-;4;-;0.7;85.8;2.8;2;6.90;;25;2169;1.1;1;0.7;0.9;4.8;0.5;0.6;-;6.90;;25;2169;1;-;0.7;0.2;0.1;0.4;0.2;0.2;0.6;6.90;;25;2169;-;0.2;45.3;85.8;-;1.5;-;6.90
"52
Yuri Berchiche
Athletic Club, 34, D(L),M(L)";;16(4);1429;3;1;3;-;0.6;81.4;1.6;2;6.90;;16(4);1429;1.2;0.8;1.2;0.5;2;0.5;0.3;1;6.90;;16(4);1429;3;1;0.6;0.5;0.3;1.4;-;0.4;0.6;6.90;;16(4);1429;1;0.5;38.7;81.4;0.5;1.4;-;6.90
"53
Lucas Robertone
Almeria, 26, M(C)";;20(2);1595;-;5;8;-;1.4;82;1.5;2;6.89;;20(2);1595;1.8;1.5;1.3;0.1;1;0.9;0.3;-;6.89;;20(2);1595;-;5;1.4;1.3;0.3;1.7;0.1;0.4;1;6.89;;20(2);1595;5;1.3;38.7;82;0.7;2.5;0.2;6.89
"54
Kirian Rodríguez
Las Palmas, 27, M(C)";;24(1);2137;6;1;7;-;1;89.8;0.5;5;6.89;;24(1);2137;1.4;0.7;0.6;0.1;0.7;1.3;0.1;-;6.89;;24(1);2137;6;1;1;1;0.8;1.2;-;1.2;1.6;6.89;;24(1);2137;1;1;81.1;89.8;0.2;2.4;0.3;6.89
"55
Jules Koundé
Barcelona, 25, D(CR)";;21(2);1881;1;2;-;-;0.7;91.5;2.3;2;6.89;;21(2);1881;1;0.7;0.7;0.4;2.5;0.6;0.4;-;6.89;;21(2);1881;1;2;0.7;0.6;0.4;0.3;0.1;0.3;0.8;6.89;;21(2);1881;2;0.6;70.3;91.5;0.3;3;-;6.89
"56
Pedri
Barcelona, 21, AM(CL)";;12(3);1055;2;2;3;-;0.7;86.7;-;-;6.88;;12(3);1055;1.4;0.6;0.6;-;0.3;0.9;0.1;-;6.88;;12(3);1055;2;2;0.7;1.9;0.7;1.1;0.1;0.5;1.7;6.88;;12(3);1055;2;1.9;50.8;86.7;0.3;1.9;0.2;6.88
